Distributeur,tconst,Année_de_Sortie,Genre,Réalisateur_id,Réalisateur,Acteur_Id,Acteur,Actrice_Id,Actrice,Id_film,original_language,Titre,Synopsis,Popularité,Affiche_de_Film,Pays,Revenues,Durée,Langues,Note,Nombre_de_Vote,Catégorie
Next Film Distribution,tt11136276,2021.0,"Drama,Thriller",nm7287167,Andreas Fontana,nm0740090|nm11231524|nm13075497|nm11235673|nm11235673,"Fabrizio Rongione,Juan Trench,Ignacio Vila,Pablo Torre Nilson,Pablo Torre Nilson",nm3498864|nm11231523|nm11231523|nm1876129,"Stéphanie Cléau,Carmen Iriondo,Carmen Iriondo,Agustina Muñoz",659954,fr,Azor,"Yvan De Wiel, a private banker from Geneva, is going to Argentina in the midst of a dictatorship to replace his partner, the object of the most worrying rumors, who disappeared overnight. Between hushed lounges, swimming pools, and gardens under surveillance, a remote duel takes place between two bankers who, despite different methods, are the accomplices of a discreet and merciless form of colonization.",8.726,/4Gra15Mqb6NvXbyYtL3hk79OQ1d.jpg,"['AR', 'FR', 'CH']",74701,100,"['es', 'fr', 'en']",6.4,59,Art et Essai
DIAPHANA,tt0439123,2006.0,"Adventure,Animation,Family",nm0643664,Michel Ocelot,nm0969770|nm1947858|nm0863816|nm2285228|nm2429043,"Cyril Mourali,Karim M'Riba,Patrick Timsit,Rayan Mahjoub,Abdelsselem Ben Amar",nm0007814|nm2429859|nm2049382|nm1154749,"Hiam Abbass,Fatma Ben Khell,Thissa d'Avila Bensalah,Sofia Boutella",19026,fr,Azur et Asmar,"Raised on tales of a Djinn fairy princess, Azur, a young Frenchman goes to North Africa in search of the sprite, only to discover that his close childhood friend, Asmar, an Arab youth whose mother raised both boys also seeks the genie.",9.989,/ezkzULav0JxvLS5JOnQcjbUmfWO.jpg,"['BE', 'FR', 'IT', 'ES']",0,99,['fr'],7.692,512,Art et Essai
Paname Distribution,tt12698684,2022.0,"Comedy,Drama",nm0747678,Matthieu Rozé,nm0158898|nm0158898|nm0519933|nm0519933|nm1500446,"Yannick Choirat,Yannick Choirat,Nuno Lopes,Nuno Lopes,Thomas Scimeca",nm0233123|nm0233123|nm0763022|nm0763022|nm0517975,"Valérie Donzelli,Valérie Donzelli,Maya Sansa,Maya Sansa,Florence Loiret Caille",843066,fr,Azuro,"It’s summer, the heat is overwhelming and the weather is out of whack. A group of friends are enjoying their yearly holiday in their favorite little village, wedged between the sea and the mountains. As usual, they are bored and eat and drink a lot. They do not pay attention to the fire which progresses on the mountain nearby, nor to the world around them. But this year, a mysterious man arrives from the sea and shakes up their seemingly balanced existence...",3.825,/4ldw48KYh3bMqciNOSGu16eOG8L.jpg,['FR'],0,104,['fr'],4.8,10,Art et Essai
PARIFILMS,tt0077198,1978.0,Drama,nm0162878,Souleymane Cissé,nm0445185|nm1272633|nm1272159|nm0224822|nm0765501,"Balla Moussa Keita,Baba Niare,Bubukar Keita,Omou Diarra,Ismaila Sarr",UNKNOWN,UNKNOWN,162543,bm,Baara,"A young manager of a factory encounters a man walking along a road who says his family traditionally are servants to the manager's family. The manager offers him a job, and as he watches out for the other man's welfare, begins to see how the company mistreats its workers. The manager is challenged between his ethics and the pressure from others to protect his own interests as dire problems surface at the factory",0.86,/ovP0fh0WpjPemxlXkmbCwcSr1fj.jpg,['ML'],0,90,['bm'],6.2,8,Art et Essai
MARS FILMS,tt0109185,1994.0,"Comedy,Drama",nm0021577,Merzak Allouache,nm0653610|nm0008235|nm0023964|nm0368958|nm0451597,"Mohamed Ourdache,Hassan Abidou,Mabrouk Ait Amara,Messaoud Hattau,Mourad Khen",nm0434191|nm0045427|nm0897106|nm0759850,"Nadia Kaci,Djohra Bachene,Simone Vignote,Nadia Samir",242288,ar,Bab El Oued City,"Bab El-Oued, a popular district of Algiers, in 1989, a few months after the riots. Boualem works at night in a bakery and steals the loudspeaker that was installed on his roof and was broadcasting the Imam's word... therefore preventing him from sleeping. This blunder is taken as a pretext by the Islamists to put the district under their control...",0.819,/r78Wd3lq2sTjZr5Al0OngBMWAMW.jpg,['DZ'],0,93,"['ar', 'fr']",5.9,8,Art et Essai
PYRAMIDE,tt0402043,2005.0,Comedy,nm0021577,Merzak Allouache,nm0618651|nm0269002|nm1815283|nm0070190|nm1323650,"Samy Naceri,Faudel,Hacène Benzerari,Boualem Benani,Yacine Mesbah",nm0310865|nm1816936|nm1817772|nm1817624,"Julie Gayet,Bakhta Benouis,Farida Saboundji,Sofia Nouacer",47299,fr,Bab El Web,"Kamel and his brother Bouzid live in Bab el Oued, a working-class neighborhood in Algiers. Kamel is a loner, disillusioned and taciturn. Bouzid, more jovial, is an Internet enthusiast. He spends his time in a cybercafé chatting with girls from all over the world. Without really believing it, he invites them to Algiers. But one day, Laurence, one of his French correspondents, tells him that she accepts his invitation.",0.6,/wJVplPvMtqorn6OpLzt2nxZH3Vj.jpg,"['FR', 'DZ']",0,99,"['ar', 'fr']",5.4,5,Art et Essai
BAC Films,tt0048973,1956.0,"Comedy,Drama",nm0001415,Elia Kazan,nm0001500|nm0908919|nm0152452|nm0389761|nm0932118,"Karl Malden,Eli Wallach,Lonny Chapman,Eades Hogue,Noah Williamson",nm0004647|nm0242972|nm0792828,"Carroll Baker,Mildred Dunnock,Madeleine Sherwood",40478,en,Baby Doll,"Archie Lee Meighan is a failing cotton gin owner who is married to Baby Doll, a 19-year old childlike beauty whose father arranged the marriage for financial reasons. As Archie awaits the arrival of Baby Doll's 20th birthday, the day that they are supposed to consummate their marriage, he faces interference from business rival Silva Vacarro, who plots to seduce Baby Doll away from Meighan.",7.949,/3AuLU0Zdhy2Oi5ig4TwGOh7pCJc.jpg,['US'],0,114,['en'],7.2,106,Art et Essai
JOUR2FETE,tt1595833,2011.0,"Horror,Thriller",nm0805760,Pål Sletaune,nm0427379|nm3161495|nm0024492|nm3422931|nm0706152,"Kristoffer Joner,Vetle Qvenild Werring,Stig R. Amdam,Torkil Høeg,Henrik Rafaelsen",nm0636426|nm2502851|nm5297732|nm0954298,"Noomi Rapace,Maria Bock,Mona Engh,Eva Zeidler",75229,no,Babycall,"Oslo, Norway. After living a traumatic experience, Anna and her son Anders move into a huge apartment building. Feeling constantly terrified and insecure, Anna buys a babycall to monitor Anders while he sleeps.",6.487,/oKktKH24h2VmsXidgZN3SouSnNG.jpg,"['NO', 'DE', 'SE']",0,93,"['no', 'sv']",5.66,128,Art et Essai
Paramount Pictures France,tt10640346,2022.0,"Comedy,Drama",nm3227090,Damien Chazelle,nm0000093|nm3660262|nm3886586|nm0650887|nm0273836,"Brad Pitt,J.C. Currais,Diego Calva,Jimmy Ortega,Marcos A. Ferraez",nm3053338|nm0005443|nm1312575|nm2100081,"Margot Robbie,Jean Smart,Olivia Wilde,Phoebe Tonkin",615777,en,Babylon,"A tale of outsized ambition and outrageous excess, tracing the rise and fall of multiple characters in an era of unbridled decadence and depravity during Hollywood's transition from silent films and to sound films in the late 1920s.",119.469,/wjOHjWCUE0YzDiEzKv8AfqHj3ir.jpg,['US'],56351455,189,"['cn', 'en', 'es']",7.504,1696,Art et Essai
Bac Films,tt13308316,2022.0,"Comedy,Drama,Mystery",nm2873161,Monia Chokri,nm0387012|nm1417692|nm1932229|nm4317753|nm0239460,"Patrick Hivon,Steve Laplante,Hubert Proulx,Stéphane Moukarzel,Patrice Dubois",nm2873161|nm8066528|nm0108033|nm1833753|nm6235242,"Monia Chokri,Nadia Tereszkiewicz,Nathalie Breuer,Eve Duranceau,Geneviève Beaudet",764837,fr,Babysitter,"After a sexist joke goes viral, Cédric loses his job and embarks on a therapeutic journey to free himself from sexism and misogyny. He and his girlfriend hire a mysterious and liberated babysitter to help shake things up.",4.699,/rWTIfTpZsoMS96TxOwbffg4n9fz.jpg,"['CA', 'FR']",0,87,['fr'],6.4,41,Art et Essai
EUROZOOM,tt0090684,1986.0,"Comedy,Drama,Family",nm0577396,André Melançon,nm0076193|nm0499234|nm0488410,"Denis Bernard,Raymond Legault,Djosef LaRoche",nm0656681|nm0087160|nm0492197|nm0033424|nm0671079,"Mahée Paiement,Doris Blanchet-Vasiloff,Véronique Lavoie,France Arbour,Andrée Pelletier",78160,fr,Bach et Bottine,"A young girl is orphaned when her nurturing grandmother enters a nursing. She is sent to live with her Bach-obsessed uncle, an organist preparing for an important recital.",1.4,/hdIei2ZyjxOmZZU5umPn4FH6vQb.jpg,['CA'],0,96,['fr'],6.2,9,Art et Essai
AAA,tt0090686,1986.0,"Crime,Drama",nm0071611,Bill Bennett,nm0034541|nm0843497|nm0807980|nm0804106|nm0492835,"David Argue,Brian Syron,Don Smith,George Skiadas,John Lawrence",nm0137140|nm0588862|nm0807336|nm0167316|nm0696021,"Gia Carides,Lydia Miller,Anne Smith,Jennifer Cluff,Mary Prentice",153340,en,Backlash,"Two policemen track down and arrest an Aboriginal woman who has been accused of murder, and begin the trek back across the desert with her.",1.4,/nrt6fRJ92rixi2aoshEm0wGAGmu.jpg,['AU'],0,89,[],5.3,3,Art et Essai
HAUT ET COURT,tt0436091,2005.0,"Drama,Music",nm0073384,Emmanuelle Bercot,nm1320509|nm0996471|nm2062639,"Valéry Zeitoun,Samuel Benchetrit,Jean-Paul Walle Wa Wana",nm0782561|nm0494066|nm0527852|nm0501258|nm1483878,"Emmanuelle Seigner,Isild Le Besco,Noémie Lvovsky,Édith Le Merdy,Aurore Auteuil",70955,fr,Backstage,"An adolescent groupie zeroes in on her Blondie-like idol after the singer chances to cross her orbit on a publicity tour. Gradually their lives intertwine as, with near-operatic intensity, the film delves into the emotional dependency on both sides of celebrity culture.",1.237,/sBfrJrQltgzAWHwsUo7TxdluYeo.jpg,['FR'],0,112,['fr'],5.35,20,Art et Essai
UIP,tt0068245,1972.0,"Adventure,Drama,Western",nm0000914,Robert Benton,nm0000313|nm0113077|nm0204824|nm0399663|nm0001698,"Jeff Bridges,Barry Brown,Jim Davis,David Huddleston,John Savage",UNKNOWN,UNKNOWN,31591,en,Bad Company,"After Drew Dixon, an upright young man, is sent west by his religious family to avoid being drafted into the Civil War, he drifts across the land with a loose confederation of young vagrants.",6.677,/8UpEdkJmdjwQb6OJJyPRSMf80v6.jpg,['US'],0,93,['en'],6.545,67,Art et Essai
Les Bookmakers/Capricci,tt0103759,1992.0,"Crime,Drama,Thriller",nm0001206,Abel Ferrara,nm0000172|nm0568421|nm0009603|nm0034519|nm0129538,"Harvey Keitel,Brian McElroy,Frank Acciarito,Victor Argo,Paul Calderon",nm0331162|nm0445197|nm0214160,"Peggy Gormley,Stella Keitel,Dana Dee",12143,en,Bad Lieutenant,"While investigating a young nun's rape, a corrupt New York City police detective, with a serious drug and gambling addiction, tries to change his ways and find forgiveness.",11.033,/mVJ2mXykqq3t2v1nuouf1P10g0d.jpg,['US'],2019469,96,"['en', 'es']",7.1,719,Art et Essai
JOUR2FETE,tt4216890,2016.0,"Comedy,Drama",nm4540217,Rachel Lang,nm2520614|nm0035128|nm3495330|nm1914270,"Lazare Gousseau,Swann Arlaud,Olivier Chantreau,Thomas Silberstein",nm2676618|nm0312985|nm4815727|nm5567482|nm0951456,"Salomé Richard,Claude Gensac,Jorijn Vriesendorp,Noémie Rosset,Zabou Breitman",340616,fr,Baden Baden,"Charts the trials and tribulations of Ana, a free-spirited 26 year-old returning home to Strasbourg for the summer after living abroad for long enough to feel out of place everywhere.",2.449,/9IePxWWLTN8FwJskhhgcZvOxA6M.jpg,"['BE', 'FR']",0,95,"['de', 'fr', 'en']",6.1,31,Art et Essai
ARAMIS Films,tt1826610,2011.0,"Comedy,Drama,Romance",nm0375691,Veit Helmer,nm4287308|nm1627419|nm0437727|nm11871934|nm11871935,"Alexander Asochakov,Erbolat Toguzakov,Waléra Kanischtscheff,Yevgeniy Yefremov,Nurlan Abilov",nm0212158|nm4285842|nm11871938,"Marie de Villepin,Sitora Farmonova,Turakhan Sydykova",109046,de,Baikonur,"“Whatever falls from heaven, you may keep.” So goes the unwritten law of the Kazakh steppes. A law avidly adhered to by the inhabitants of a small village, who collect the space debris that falls downrange from the nearby Baikonur space station.  The last two youthful members of the village are the radio operator Iskander, known as Gagarin, and the spirited Nazira. While Nazira finds it increasing difficult to conceal her love for Iskander by means of her unconventional behaviour, Iskander is evidently not only crazy about Baikonur and the vastness of outer space, but also deeply smitten with the beautiful French astronaut Julie Mahé, whose journey to the stars he wistfully follows on television.",2.488,/1DZleUxHcqRXPdhg4FYQ0sOdtUm.jpg,"['DE', 'RU', 'KZ']",0,95,"['en', 'fr', 'ru']",5.7,23,Art et Essai
MK2,tt0062695,1968.0,"Comedy,Drama,Romance",nm0000076,François Truffaut,nm0529543|nm0003909|nm0366061|nm0265948|nm0147561,"Jean-Pierre Léaud,Michael Lonsdale,Harry-Max,André Falcon,Daniel Ceccaldi",nm0415283|nm0786891|nm0241038|nm0527555|nm0274949,"Claude Jade,Delphine Seyrig,Claire Duhamel,Catherine Lutz,Martine Ferrière",255,fr,Baisers volés,"The third in a series of films featuring François Truffaut's alter-ego, Antoine Doinel, the story resumes with Antoine being discharged from military service. His sweetheart Christine's father lands Antoine a job as a security guard, which he promptly loses. Stumbling into a position assisting a private detective, Antoine falls for his employers' seductive wife, Fabienne, and finds that he must choose between the older woman and Christine.",7.981,/5qHh1Vp2TOOX5IaTVt4wyT8OTnR.jpg,['FR'],1500000,90,['fr'],7.3,355,Art et Essai
FILMS DU LOSANGE,tt0814666,2006.0,Drama,nm0803066,Abderrahmane Sissako,nm2287687|nm0218234|nm1181578|nm2215144|nm1796209,"Tiécoura Traoré,Habib Dembélé,Hamadoun Kassogué,William Bourdon,Mamadou Kanouté",nm0563740|nm0224821|nm1181642|nm1690757,"Aïssa Maïga,Maimouna Hélène Diarra,Djénéba Koné,Aminata Traoré",62652,bm,Bamako,"Caught in the stranglehold of debt and structural adjustment, Africa is fighting for its survival. In the face of disaster, representatives of African society bring an action against international financial institutions. The trial takes place in Bamako, in the yard of a house, among its inhabitants.",2.272,/bWFSFt3eyd53IgsQButgAsjSsjL.jpg,"['FR', 'ML', 'US']",111000,115,"['bm', 'en', 'fr', 'he']",6.8,29,Art et Essai
EPICENTRE Films,tt2668120,2013.0,"Biography,Documentary",nm0509852,Sébastien Lifshitz,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,171944,fr,Bambi,"Bambi was born Jean-Pierre Pruvot in a tiny Algerian village in 1935. Even as a child, she refused to meet the expectations of her extended family, choosing instead to find a way to become the woman she always knew herself to be. A Cabaret Carrousel de Paris performance in Algiers in the 1950s proved to be all the encouragement she needed to emigrate to the French capital, assume the stage name of ‘Bambi’ and lead the life she longed for on the music-hall stages.",2.498,/gWwAKOzGWHO1vZizZLgkk81r6w1.jpg,['FR'],0,60,['fr'],6.0,14,Art et Essai
GRANDS FILMS CLASSIQUES,tt0066808,1971.0,Comedy,nm0000095,Woody Allen,nm0000095|nm0598823|nm0602630|nm0840822|nm0651101,"Woody Allen,Carlos Montalbán,Jacobo Morales,Miguel Ángel Suárez,David Ortiz Angleró",nm0489837|nm0007707,"Louise Lasser,Nati Abascal",11302,en,Bananas,"When a bumbling New Yorker is dumped by his activist girlfriend, he travels to a tiny Latin American nation and becomes involved in its latest rebellion.",11.314,/At3rXd39FZgNiuQc2C8rln2nE8H.jpg,['US'],11833696,82,"['en', 'es', 'it', 'yi']",6.685,620,Art et Essai
GAUMONT,tt0057869,1964.0,"Comedy,Crime,Drama",nm0000419,Jean-Luc Godard,nm0105475|nm0293739|nm0823003|nm0579972|nm0753711,"Claude Brasseur,Sami Frey,Georges Staquet,Ernest Menzer,Jean-Claude Rémoleux",nm0439344|nm0320647|nm0173212|nm0201195,"Anna Karina,Danièle Girard,Louisa Colpeyn,Chantal Darget",8073,fr,Bande à part,"Cinephile slackers Franz and Arthur spend their days mimicking the antiheroes of Hollywood noirs and Westerns while pursuing the lovely Odile. The misfit trio upends convention at every turn, be it through choreographed dances in cafés or frolicsome romps through the Louvre. Eventually, their romantic view of outlaws pushes them to plan their own heist, but their inexperience may send them out in a blaze of glory -- which could be just what they want.",7.941,/9oqyj79xmcypxLajJdefOtrYx64.jpg,['FR'],182857,97,"['en', 'fr']",7.589,475,Art et Essai
PYRAMIDE,tt3655522,2014.0,Drama,nm1780037,Céline Sciamma,nm5116070|nm3994610|nm1299696,"Idrissa Diabaté,Cyril Mendy,Djibril Gueye",nm6414713|nm6733166|nm6733167|nm6733168|nm6824076,"Karidja Touré,Assa Sylla,Lindsay Karamoh,Mariétou Touré,Simina Soumaré",266082,fr,Bande de filles,"Oppressed by her family setting, dead-end school prospects and the boys law in the neighborhood, Marieme starts a new life after meeting a group of three free-spirited girls. She changes her name, her dress code, and quits school to be accepted in the gang, hoping that this will be a way to freedom.",8.024,/aa3XeQmFkwpQvUBJhhql9JU7B0d.jpg,['FR'],60765,112,['fr'],6.455,342,Art et Essai
SHELLAC,tt0235214,2000.0,"Comedy,Drama",nm0221711,Antoine Desrosières,nm0218843|nm0815668|nm0152647|nm0894677|nm0876146,"Mathieu Demy,Zinedine Soualem,Antoine Chappey,Howard Vernon,Laurent Tuel",nm0098534|nm0136549|nm0376942|nm0007706,"Gwennola Bothorel,Pascale Cardon,July Henebelle,Margot Abascal",571311,fr,Banqueroute,"Nicolas Lanson, a young stockbroker, lives a fast life of money and luxury until the day his high-risk initiatives cause the fall of the bank. He flees with a price on his head. On the run, Nicolas meets Charlotte, pregnant for a man who doesn't want her. Although Nicolas isn't her type, Charlotte seduces him once she discovers his identity. Little does Nicolas know, Charlotte is not leading them to see her brother, but an older lover who just happens to be a cop.",0.6,/dQ1SWzmdyXok05JOFxjjxLV4TQt.jpg,[],0,75,[],4.0,2,Art et Essai
JML PRODUCTION,tt0094711,1989.0,"Biography,Drama,Romance",nm0299677,René Féret,nm0077873|nm0094782|nm0152689|nm0654815|nm0062748,"Jean-Yves Berteloot,Jacques Bonnaffé,Pierre-Alain Chapuis,René Ozo,Jean-Pierre Baxter",nm0834805|nm0778568|nm0916526|nm0721469|nm0480205,"Valérie Stroh,Edith Scob,Clarisse Weber,Dominique Reymond,Valérie Lacombe",267097,fr,Baptême,"In this film, director Rene Feret tells the story of his parents' lives. In 1935 his mother Aline works in her parents' cafe in a mining town in northern France. There, she meets a customer, Pierre and decides she is going to marry him. In a reversal of roles, she is the one who proposes to him, and she also engineers a false pregnancy to persuade her parents to okay the match. With a few stops along the way, the story picks up after the war with the birth of the couple's third son, who is given the name Rene in memory of their first, dead son. Never rich, they achieve some level of financial stability just as their sons are about to head off to the city for college. The love between the two older people is highlighted in a poignant scene as, just as he is about to die, the father shares a champagne toast with his wife in memory of one of their happier moments.",0.77,/a7n0rN1prqREr7IwIYnLSb7LO4v.jpg,"['BE', 'FR']",0,127,['fr'],5.7,6,Art et Essai
PIERRE GRISE DISTRIBUTION,tt0101407,1991.0,Drama,nm0434806,Cédric Kahn,nm0896366|nm0687486|nm0213697|nm0702323|nm0381242,"Marc Vidal,Nicolas Ploux,François Decaux,Patrick Pérez,Dan Herzberg",nm0044865|nm0747690|nm0723865|nm0488645,"Fabienne Babe,Brigitte Roüan,Nathalie Richard,Estelle Larrivaz",63757,fr,Bar des rails,"A naive, sixteen-year-old boy named Richard becomes involved with a single mother after babysitting her child.",0.65,/z3C2QHP7k2MfurPG4WiY4Aq9beu.jpg,['FR'],0,103,['fr'],5.0,2,Art et Essai
Platano FIlms,tt8480960,2019.0,"Documentary,Drama",nm7977650,Pablo Briones,nm8125090|nm8125092,"Leonel Aguilera,Antuán Alemán",UNKNOWN,UNKNOWN,574698,fr,Baracoa,"In their small village in the Cuban countryside, Leonel (9) and Antuán (13) have been friends for their entire lives. But Antuán will move to Habana at the end of the summer and these holidays might be the last they ever spend together.",0.6,/6tgYcapGnGtoEER9w1rGVYqHx5O.jpg,"['CO', 'CU', 'ES', 'CH', 'US']",0,89,['es'],0.0,0,Art et Essai
REZO FILMS,tt0103767,1992.0,Documentary,nm0294825,Ron Fricke,nm0228286,Patrick Disanto,UNKNOWN,UNKNOWN,14002,en,Baraka,A paralysingly beautiful documentary with a global vision—an odyssey through landscape and time—that attempts to capture the essence of life.,10.121,/ldEuJQ4z7zEvL7iXraESWBUfQcz.jpg,['US'],0,97,['xx'],8.2,511,Art et Essai
PYRAMIDE,tt2178941,2012.0,Drama,nm0678857,Christian Petzold,nm1665537|nm0090674|nm3748603|nm4056141,"Ronald Zehrfeld,Rainer Bock,Peter Weiss,Deniz Petzold",nm0396125|nm2322467|nm0312036|nm4881530|nm1384908,"Nina Hoss,Christina Hecke,Claudia Geisler-Bading,Carolin Haupt,Rosa Enskat",88284,de,Barbara,"In 1980s East Germany, Barbara is a Berlin doctor banished to a country medical clinic for applying for an exit visa. Deeply unhappy with her reassignment and fearful of her co-workers as possible Stasi informants, Barbara stays aloof, especially from the good natured clinic head, Andre.",8.376,/2gbbUhlDhPppNk8c8xEZftbO2nV.jpg,['DE'],6889185,105,['de'],7.206,252,Art et Essai
GAUMONT,tt6411984,2017.0,"Biography,Drama,Music",nm0023832,Mathieu Amalric,nm0023832|nm5131164|nm0171499|nm1778069|nm5813029,"Mathieu Amalric,Vincent Peirani,Grégoire Colin,Pierre Michon,Stéphane Roger",nm0050210|nm0050210|nm0167467|nm3312994|nm0221159,"Jeanne Balibar,Jeanne Balibar,Aurore Clément,Fanny Imber,Marie Desgranges",451618,fr,Barbara,"When a director sets out to make a film about popular French singer Barbara, both he and the actress who is to play her are overwhelmed by the project.",6.201,/2MKyqhM5CfuFBdIc3vFtkrLZfCS.jpg,['FR'],0,98,"['en', 'fr']",5.9,90,Art et Essai
UGC,tt0109219,1994.0,"Comedy,Drama,Romance",nm0001775,Whit Stillman,nm0629737|nm0001177|nm0612992|nm0004959|nm0319636,"Taylor Nichols,Chris Eigeman,Pep Munné,Thomas Gibson,Jack Gilpin",nm0072737|nm0000227|nm0773321|nm0046121,"Tushka Bergen,Mira Sorvino,Hellena Taylor,Núria Badia",16771,en,Barcelona,"During the 1980s, uptight Ted Boynton is a salesman working in the Barcelona office of a Chicago-based company. He receives an unexpected visit from his cousin Fred, a naval officer who has come to Spain on a public relations mission for a U.S. fleet. Not exactly friends in the past, Ted and Fred strike up relationships with women in the Spanish city and experience conflicts -- Ted with his employer, and Fred with the Barcelona community.",4.112,/7dgX3naR9EsFMvQhwHY8My6r5FR.jpg,['US'],0,100,"['es', 'en']",6.323,64,Art et Essai
CANNON,tt0092618,1987.0,"Comedy,Drama,Romance",nm0775447,Barbet Schroeder,nm0000620|nm0620756|nm0703862|nm0821734|nm0881161,"Mickey Rourke,Jack Nance,J.C. Quinn,Frank Stallone,Joe Unger",nm0001159|nm0000481|nm0553036|nm0060302|nm0503755,"Faye Dunaway,Alice Krige,Sandy Martin,Roberta Bassin,Gloria LeRoy",10937,en,Barfly,"Downtrodden writer Henry and distressed goddess Wanda aren't exactly husband and wife: they're wedded to their bar stools. But, they like each other's company—and Barfly captures their giddy, gin-soaked attempts to make a go of life on the skids.",9.412,/1TDhyo38sHKU9WSwdVV0AtTrmTS.jpg,['US'],3221568,100,['en'],6.906,283,Art et Essai
ARTEDIS,tt0074184,1976.0,"Crime,Drama,Romance",nm0029242,André Téchiné,nm0000367|nm0000367|nm0108400|nm0347453|nm0836681,"Gérard Depardieu,Gérard Depardieu,Jean-Claude Brialy,Julien Guiomar,Jean-François Stévenin",nm0000254|nm0685494|nm0839623|nm0393691,"Isabelle Adjani,Marie-France Pisier,Hélène Surgère,Elise Hoomans",64983,fr,Barocco,A woman falls in love with the man who killed her former boyfriend.,2.772,/2Qr2kQpk3S4LOKkd1LzAAcWu1tg.jpg,['FR'],0,110,[],5.8,18,Art et Essai
TADRART FILMS,tt0474180,2005.0,Drama,nm1292833,Raphaël Jacoulot,nm2035302|nm0077346|nm0299695|nm2182979|nm2181326,"Hadrien Bouvier,Pierre Berriau,Jean-Michel Fête,Mathieu Klepandy,Max Bouvard",nm0226383|nm1326732|nm0677546,"Nade Dieu,Anaïs Demoustier,Aurélia Petit",161728,en,Barrage,"Sabine, a 30-year-old woman, has recently moved to an isolated house near to a river with a dam.  She is accompanied by her son Thomas, aged 15.  As she tries to settle into her new home, Sabine experiences a series of strange phenomena.  She cannot bear to see her son grow up and leave her, and she will do anything to keep him with her...",0.876,UNKNOWN,[],0,93,['fr'],2.0,1,Art et Essai
ALFAMA FILMS,tt5797756,2017.0,Drama,nm1883724,Laura Schroeder,nm10536935|nm0618114|nm5020632,"Michaël Kahya,Charles Müller,Luc Schiltz",nm0150543|nm5773278|nm0001376|nm4455751|nm0432715,"Lolita Chammah,Themis Pauwels,Isabelle Huppert,Elsa Houben,Marja-Leena Junker",427257,fr,Barrage,"After ten years abroad, Catherine returns to Luxembourg, to catch up with her daughter Alba, brought up by Catherine’s mother Elisabeth. Alba is cold and distant with this stranger showing up unexpectedly in her life, so is Elisabeth, keen to keep her protégée to herself.  One day, Catherine cannot take it anymore. She kidnaps Alba and takes her on a trip to a lake up North. Begins an unsettling journey into the puzzling world of motherly love, only to find out that sometimes the true opponent is yourself.",1.088,/jFMrk5cx6NN2g7GP9r040kFK1o5.jpg,"['BE', 'FR', 'LU']",0,112,['fr'],5.3,15,Art et Essai
FILMS SANS FRONTIERES,tt0055776,1962.0,Drama,nm0733790,Glauber Rocha,nm0685638|nm0854084|nm0798408|nm0017071|nm0110000,"Antonio Pitanga,Aldo Teixeira,Lidio Silva,Edmundo Albuquerque,Francisco dos Santos Brito",nm0544850|nm0207821,"Luiza Maranhão,Lucy de Carvalho",66184,pt,Barravento,"In Bahia, an educated black man returns to his home fishing village to try and free people from mysticism, in particular the Candomblé religion, which he considers a factor of political and social oppression, with tragic outcome.",1.772,/p5WgRzMPrbaOCOR3Oin5U8k6kMh.jpg,['BR'],0,78,['pt'],7.2,30,Art et Essai
NEF,tt0074186,1976.0,Drama,nm0740067,Maurice Ronet,nm0003909|nm0537557|nm0083234|nm0953412|nm0284979,"Michael Lonsdale,Maxence Mailfort,Maurice Biraud,Dominique Zardi,Jacques Fontanelle",UNKNOWN,UNKNOWN,362590,fr,Bartleby,"Adaptation of the classic Herman Melville short story. The narrator, an elderly Manhattan lawyer with a very comfortable business helping wealthy men deal with mortgages, deeds, and bonds, relates the story of the strangest man he has ever known.",0.6,/l3yneCPUyYi2Qhc9ThtFtKgNRo2.jpg,"['GB', 'FR']",0,97,['fr'],6.3,3,Art et Essai
WHITE Pictures,tt1529233,2010.0,"Comedy,Musical",nm0660266,Rocco Papaleo,nm0309348|nm0109277|nm1571262|nm0660266|nm2370210,"Alessandro Gassmann,Paolo Briguglia,Max Gazzè,Rocco Papaleo,Antonio Gerardi",nm0583856|nm3049981|nm2594938,"Giovanna Mezzogiorno,Claudia Potenza,Michela Andreozzi",43200,it,Basilicata Coast to Coast,A music group and a journalist cross the region of Basilicata by foot to attend a music festival.,6.712,/1jFrV9DPPS38jgYgyUFJXukMsAt.jpg,['IT'],0,105,['it'],6.244,353,Art et Essai
PYRAMIDE DISTRIBUTION,tt0115632,1996.0,"Biography,Drama",nm0773603,Julian Schnabel,nm0942482|nm0000699|nm0001125|nm0000309|nm0000454,"Jeffrey Wright,Michael Wincott,Benicio Del Toro,David Bowie,Dennis Hopper",nm0001231,Claire Forlani,549,en,Basquiat,"The brief life of Jean Michel Basquiat, a world renowned New York street artist struggling with fame, drugs and his identity.",6.837,/qS3zqMxjcXcHUUExvt2uhRvqi8Y.jpg,['US'],3011195,108,"['en', 'es']",6.68,251,Art et Essai
