Distributeur,tconst,Année_de_Sortie,Genre,Réalisateur_id,Réalisateur,Acteur_Id,Acteur,Actrice_Id,Actrice,Id_film,original_language,Titre,Synopsis,Popularité,Affiche_de_Film,Pays,Revenues,Durée,Langues,Note,Nombre_de_Vote,Catégorie
UNKNOWN,tt7975244,2019.0,"Action,Adventure,Comedy",nm0440458,Jake Kasdan,nm0425005|nm0085312|nm0366389|nm2679917|nm1842974,"Dwayne Johnson,Jack Black,Kevin Hart,Nick Jonas,Alex Wolff",nm2394794|nm5377144|nm2367353|nm5589690,"Karen Gillan,Awkwafina,Morgan Turner,Madison Iseman",512200,en,Jumanji: The Next Level,"As the gang return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored in order to escape the world’s most dangerous game.",96.9,/jyw8VKYEiM1UDzPB7NsisUgBeJ8.jpg,['US'],801693929,123,['en'],6.941,7659,Blockbuster Américain
UNKNOWN,tt7979580,2021.0,"Adventure,Animation,Comedy",nm5106831,Michael Rianda,nm1104131|nm5106831|nm5106831|nm5106831|nm2765191,"Danny McBride,Michael Rianda,Michael Rianda,Michael Rianda,Eric André",nm3434305|nm3434305|nm0748973|nm1469236|nm4178979,"Abbi Jacobson,Abbi Jacobson,Maya Rudolph,Olivia Colman,Chrissy Teigen",501929,en,The Mitchells vs. the Machines,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.",26.504,/mI2Di7HmskQQ34kz0iau6J1vr70.jpg,"['HK', 'US']",0,110,['en'],7.964,2383,Blockbuster Américain
UNKNOWN,tt7984766,2019.0,"Biography,Drama,History",nm2391575,David Michôd,nm6077951|nm5994557|nm1433660|nm5361352|nm0253097,"Tom Glynn-Carney,Gábor Czap,Tom Fisher,Edward Ashley,Steven Elder",UNKNOWN,UNKNOWN,504949,en,The King,"England, 15th century. Hal, a capricious prince who lives among the populace far from court, is forced by circumstances to reluctantly accept the throne and become Henry V.",23.862,/8u0QBGUbZcBW59VEAdmeFl9g98N.jpg,"['AU', 'US']",0,140,"['en', 'fr', 'la']",7.167,2832,Blockbuster Américain
UNKNOWN,tt7991608,2021.0,"Action,Comedy,Thriller",nm1098493,Rawson Marshall Thurber,nm0425005|nm0005351|nm0224565|nm3543262|nm0024188,"Dwayne Johnson,Ryan Reynolds,Chris Diamantopoulos,Ivan Mbakop,Vincenzo Amato",nm2933757|nm5709125,"Gal Gadot,Ritu Arya",512195,en,Red Notice,"An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen.",80.982,/lAXONuqg41NwUMuzMiFvicDET9Y.jpg,['US'],178143,118,"['en', 'id', 'it', 'ru', 'es']",6.795,4833,Blockbuster Américain
UNKNOWN,tt8009428,2022.0,"Comedy,Drama,Sport",nm1476102,Jeremiah Zagar,nm0001191|nm12373736|nm0004936|nm1369568|nm10094555,"Adam Sandler,Juancho Hernangomez,Ben Foster,Kenny Smith,Anthony Edwards",nm0001451|nm11033850|nm0098710|nm11993363,"Queen Latifah,Jordan Hull,María Botto,Ainhoa Pillet",705861,en,Hustle,"After discovering a once-in-a-lifetime player with a rocky past abroad, a down on his luck basketball scout takes it upon himself to bring the phenom to the States without his team's approval. Against the odds, they have one final shot to prove they have what it takes to make it in the NBA.",51.088,/xWic7kPq13oRxYjbGLApXCnc7pz.jpg,['US'],0,118,"['en', 'es']",7.812,2044,Blockbuster Américain
UNKNOWN,tt8041270,2022.0,"Action,Adventure,Sci-Fi",nm1119880,Colin Trevorrow,nm0695435|nm0000554|nm0000156|nm6974206|nm0001714,"Chris Pratt,Sam Neill,Jeff Goldblum,Mamoudou Athie,Campbell Scott",nm0397171|nm0000368|nm1986622|nm9830820|nm9830820,"Bryce Dallas Howard,Laura Dern,DeWanda Wise,Isabella Sermon,Isabella Sermon",507086,en,Jurassic World Dominion,"Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.",237.086,/kAVRgw7GgK1CfYEJq8ME6EvRIgU.jpg,['US'],1001978080,147,['en'],6.858,4780,Blockbuster Américain
UNKNOWN,tt8097030,2022.0,"Adventure,Animation,Comedy",nm7626019,Domee Shi,nm4093657|nm12315349,"Orion Lee,Tristan Allerick Chen",nm8823152|nm8823152|nm0644897|nm0644897|nm0644897,"Rosalie Chiang,Rosalie Chiang,Sandra Oh,Sandra Oh,Sandra Oh",508947,en,Turning Red,"Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.",154.459,/qsdjk9oAKSQMWs0Vt5Pyfh6O4GZ.jpg,['US'],18879922,100,"['cn', 'zh', 'ko', 'fr', 'en']",7.467,4150,Blockbuster Américain
UNKNOWN,tt8106534,2019.0,"Action,Thriller",nm0000881,Michael Bay,nm0005351|nm2636310|nm5228887|nm2002649|nm3659660,"Ryan Reynolds,Manuel Garcia-Rulfo,Ben Hardy,Dave Franco,Corey Hawkins",nm0491259|nm5245722,"Mélanie Laurent,Adria Arjona",509967,en,6 Underground,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",33.938,/lnWkyG3LLgbbrIEeyl5mK5VRFe4.jpg,['US'],0,128,['en'],6.344,4203,Blockbuster Américain
UNKNOWN,tt8155288,2019.0,"Comedy,Horror,Mystery",nm0484907,Christopher Landon,nm3441152|nm7059572|nm4139037|nm1587813|nm2531628,"Israel Broussard,Phi Vu,Suraj Sharma,Steve Zissis,Charles Aitken",nm1557329|nm4712111|nm7847287|nm4384329|nm0166756,"Jessica Rothe,Sarah Yarkin,Rachel Matthews,Ruby Modine,Laura Clifton",512196,en,Happy Death Day 2U,"Collegian Tree Gelbman wakes up in horror to learn that she's stuck in a parallel universe. Her boyfriend Carter is now with someone else, and her friends and fellow students seem to be completely different versions of themselves. When Tree discovers that Carter's roommate has been altering time, she finds herself once again the target of a masked killer. When the psychopath starts to go after her inner circle, Tree soon realizes that she must die over and over again to save everyone.",15.694,/4tdnePOkOOzwuGPEOAHp8UA4vqx.jpg,['US'],25327500,100,['en'],6.319,3022,Blockbuster Américain
UNKNOWN,tt8201170,2019.0,"Comedy,Romance",nm0625245,Chris Nelson,nm3170207|nm4955720|nm0909768|nm0159609|nm4354794,"Noah Centineo,Odiseas Georgiadis,Matt Walsh,Joe Chrest,Alexander Biglane",nm1404824|nm6161516|nm1011531,"Laura Marano,Camila Mendes,Carrie Lazar",543540,en,The Perfect Date,"No beau? No problem! To earn money for college, a high schooler creates a dating app that lets him act as a stand-in boyfriend.",15.017,/rrAYdezO3h1mjdYTaQyTXoj8IZ4.jpg,['US'],0,93,"['hr', 'en']",6.469,3078,Blockbuster Américain
